Component,Status,Existing implementation,Canonical input,Code/configuration used,Existing output,Evidence that it is current,Stale dependency if any,Required action,Downstream outputs affected
"frozen synthetic inputs","VERIFIED_CURRENT","v0.4 population_alias_revision artifacts","data/processed/synthetic_benchmark/v0_4_population_alias_revision","config/synthetic/benchmark_defaults_v0_4.yaml; config/synthetic/scenarios/v0_4","data/processed/synthetic_benchmark/v0_4_population_alias_revision","Inspected in place; not regenerated; benchmark version consistently referenced","none","Keep frozen; do not regenerate","benchmark evaluations only"
"frozen candidate pairs","VERIFIED_CURRENT","v0.4 linkage benchmark candidate universe","frozen v0.4 observed notices and true_relations","notebooks/14_linkage_algorithm_benchmark_v0_4.ipynb; boamp.linkage.candidates","reports/tables/synthetic_benchmark/v0_4_population_alias_revision/linkage_algorithm_benchmark/world_candidate_metadata.csv","Benchmark summary and metadata align on 879179 evaluation pairs and 10333 reachable truth links","moderate duplicates central_provisional and is excluded from unique cross-scenario evidence","Retain; interpret duplicate scenario caveat","benchmark ranking and sensitivity"
"candidate generator","VERIFIED_CURRENT","Layer 1 same-buyer duration-anchored generator","data/processed/boamp_only/boamp_only_sources.csv","config/pipeline.yaml; src/boamp/linkage/candidates.py","reports/tables/real_linkage_freeze/real_candidate_pairs_reproduced.csv","scripts/freeze_real_linkage.py reran: 3380 sources; 10862 pairs; 6m window; thresholds asserted","none","Freeze dur_w6 as operational generator","real scoring; event datasets; survival"
"candidate-generation sensitivity experiment","VERIFIED_CURRENT","Synthetic and real bounded window sensitivity","frozen v0.4 benchmark; real Layer 1 sources","scripts/evaluate_synthetic_candidate_generators.py; scripts/real_candidate_generator_sensitivity.py","reports/tables/real_linkage_freeze/gen_sensitivity_results.csv; real_candidate_generator_sensitivity.csv","Real sensitivity reran; counts match dur_w6/dur_w9/dur_w12/dur_w18/fwd24 outputs","runtime seconds column is non-deterministic metadata","Do not select by link-rate target; keep wider windows as sensitivity","candidate-generator decision; survival sensitivity"
"feature extraction","VERIFIED_CURRENT","Composite features plus benchmark supervised feature schema","real_candidate_pairs_reproduced.csv; synthetic fit/calibration worlds","src/boamp/linkage/scoring.py; scripts/test_synthetic_to_real_transfer.py","real_supervised_rank1_scored.csv; synthetic_vs_real_feature_shift.csv","Transfer script now mirrors benchmark feature schema and thresholds","previous transfer script used different model/features","Use current transfer outputs only","GBM/logistic real sensitivity"
"benchmark training/evaluation split","VERIFIED_CURRENT","Central 001-004 fit; 005-006 calibration; 007-010 held-out evaluation","frozen v0.4 worlds","notebooks/14_linkage_algorithm_benchmark_v0_4.ipynb","algorithm_thresholds.csv; per_world_metrics.csv","Report and notebook specify separate fit/calibration/evaluation worlds","moderate duplicate caveat for unique evidence","Keep split; cite held-out only","algorithm comparison"
"trained GBM","VERIFIED_CURRENT","Reproducible script-trained GBM matching benchmark specification","central_provisional worlds 001-004","GradientBoostingClassifier n=160 lr=0.045 max_depth=3 subsample=0.8 seed=20260713","real_primary_gbm_links.csv; boamp_only_survival_primary_gbm.csv; synthetic_to_real_transfer_test.csv","Transfer script reran with frozen threshold 0.230964","No persisted model artifact; model is reconstructed by script","Use as primary practical real-linkage method under frozen benchmark assumption","primary event dataset; audit sample"
"trained logistic regression","VERIFIED_CURRENT","Reproducible script-trained logistic regression matching benchmark specification","central_provisional worlds 001-004","LogisticRegression class_weight=balanced seed=20260713","real_supervised_transfer_links.csv; synthetic_to_real_transfer_test.csv","Transfer script reran with frozen threshold 0.745678","No persisted model artifact; model is reconstructed by script","Use as supervised comparator sensitivity","supervised event datasets"
"Fellegi-Sunter implementation","VERIFIED_CURRENT","Benchmark comparator only","frozen v0.4 candidate pairs","notebooks/14_linkage_algorithm_benchmark_v0_4.ipynb; validation_framework.difficulty constants","summary_metrics.csv; per_world_metrics.csv","Held-out benchmark includes fellegi_sunter_style","No real FS layer retained in current practical freeze","Retain as benchmark comparator","benchmark comparison only"
"composite baseline","VERIFIED_CURRENT","Transparent weighted composite","real candidate pairs","config/pipeline.yaml weights 0.35/0.30/0.25/0.10","decision_rule_summary.csv; boamp_only_survival_baseline_composite_balanced.csv","freeze_real_linkage.py reran and thresholds asserted","none","Retain as transparent baseline because weights are fixed rather than real-label learned","baseline event dataset; survival sensitivity"
"held-out benchmark comparison","VERIFIED_CURRENT","v0.4 algorithm benchmark","held-out worlds 007-010","notebooks/14_linkage_algorithm_benchmark_v0_4.ipynb","summary_metrics.csv; scenario_summary_metrics.csv; per_world_metrics.csv","Metrics inspected; GBM strongest by held-out end-to-end F1","CPV exact-code anomaly limits ranking interpretation","Use for controlled comparison with limitations","method selection evidence"
"benchmark ranking stability","PARTIALLY_IMPLEMENTED","Seed stability and duplicate-scenario correction exist","v0.4 held-out worlds","scripts/analyze_seed_stability.py; scripts/correct_unique_scenario_evidence.py","seed_stability_summary.json; corrected_cross_scenario_evidence.json","Duplicate moderate documented; unique worlds corrected to 16","Ranking sensitive under CPV ablation and duplicate scenario caveat","Do not claim universal or real ranking","reports and method decision"
"real-BOAMP candidate pairs","VERIFIED_CURRENT","Layer 1 reproduced candidate pairs","boamp_common_prepared.csv; boamp_only_sources.csv","scripts/freeze_real_linkage.py","real_candidate_pairs_reproduced.csv","Rerun produced 10862 pairs from 2005 candidate-bearing sources","none","Retain as canonical dur_w6 real pairs","all real link methods"
