case_id,audit_stratum,reviewer_label,reviewer_confidence,needs_second_review,review_date,reviewer_notes,source_notice_id,candidate_notice_id,gbm_candidate_notice_id,composite_candidate_notice_id,gbm_decision,composite_decision,buyer_name,buyer_key_type,buyer_n_sources,source_date,candidate_date,gap_months,source_cpv,category_label,duration_imputed,s_text,s_cpv,s_time,s_buyer,composite_score,gbm_score,top1_top2_margin,n_candidates_for_source,source_text,candidate_text,reason_code,rule_version,benchmark_version,failure_material_scope_mismatch,failure_administrative_version_or_rectificatif,failure_same_buyer_broad_digital_signal,failure_high_buyer_activity_ambiguity,failure_name_fallback_identity_risk,failure_high_cpv_false_security,failure_low_text_evidence,failure_small_margin_ambiguity,failure_method_disagreement_false_positive,n_failure_modes,failure_modes
AUDIT-001,gbm_and_composite,CORRECT_LINK,MEDIUM,True,46240,"The candidate is the finance-software need that appeared as lot 1 of the eight-lot source notice. Same buyer, same functional lot and a later separate initial notice make a lot relaunch/continuation plausible; BOAMP does not explicitly link the notices.",17-134974,18-73911,18-73911,18-73911,LINKED,LINKED,ville de Bouchemaine,NAME_FALLBACK,3,2017-09-25,2018-06-07,8.377135348226018,,DIGITAL_ICT,True,0.5278759841311622,0.1,0.5948313622426631,0.6,0.4234644350065725,0.5351223228708686,0.4234644350065725,1,Fourniture et maintenance de logiciels métiers de la commune de Bouchemaine,fourniture et maintenance d'un logiciel métier finances pour la commune de bouchemaine,GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,False,False,False,False,False,False,False,False,False,0,
AUDIT-002,gbm_and_composite,WRONG_LINK,MEDIUM,True,46240,"The source is 'Maintenance et support technique du logiciel Business Object et 360 View et prestations associées' while the candidate is 'Fourniture, maintenance des logiciels et produits ESRI et prestations associées'. The concrete functions/equipment are materially different; same buyer and broad digital/CPV similarity do not establish a renewal or relaunch.",17-139193,17-159853,17-159853,17-159853,LINKED,LINKED,Angers Loire Métropole,NAME_FALLBACK,61,2017-10-04,2017-11-13,1.314060446780552,72267000.0,DIGITAL_ICT,True,0.1410946318206214,0.8,0.22251423565484,0.6,0.4050116800509275,0.6148984656292993,0.1049859781264856,12,Maintenance et support technique du logiciel Business Object et 360 View et prestations associées,"Fourniture, maintenance des logiciels et produits ESRI et prestations associées",GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,True,False,True,True,True,True,True,False,False,6,MATERIAL_SCOPE_MISMATCH;SAME_BUYER_BROAD_DIGITAL_SIGNAL;HIGH_BUYER_ACTIVITY_AMBIGUITY;NAME_FALLBACK_IDENTITY_RISK;HIGH_CPV_FALSE_SECURITY;LOW_TEXT_EVIDENCE
AUDIT-003,gbm_and_composite,WRONG_LINK,HIGH,False,46240,The source is 'création d'un système d'information des données abonnés et patrimoine du service public d'eau potable (relance de la procédure à la su…' while the candidate is 'Développement d'un outil de gestion dynamique des retenues - Département de la Vendée'. The concrete functions/equipment are materially different; same buyer and broad digital/CPV similarity do not establish a renewal or relaunch.,15-192276,16-94711,16-94711,16-94711,LINKED,LINKED,Vendée Eau,NAME_FALLBACK,16,2016-02-05,2016-07-04,4.92772667542707,48900000.0,DIGITAL_ICT,True,0.0367841550534658,1.0,0.1841874726237407,0.6,0.4189213224246482,0.9349229833995556,0.0945803920689609,3,création d'un système d'information des données abonnés et patrimoine du service public d'eau potable (relance de la procédure à la suite d'une déclaration sans suite) à La Roche- sur-Yon,Développement d'un outil de gestion dynamique des retenues - Département de la Vendée,GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,True,False,True,False,True,True,True,False,False,5,MATERIAL_SCOPE_MISMATCH;SAME_BUYER_BROAD_DIGITAL_SIGNAL;NAME_FALLBACK_IDENTITY_RISK;HIGH_CPV_FALSE_SECURITY;LOW_TEXT_EVIDENCE
AUDIT-004,gbm_and_composite,WRONG_LINK,HIGH,False,46240,"The source is 'tierce maintenance applicative sur géonantes, portail géographique intranet, extranet et internet de nantes métropole (maintien en con…' while the candidate is 'tierce maintenance applicative du système d'information ressources (s.i.r.h.) pour le compte de nantes métropole'. The concrete functions/equipment are materially different; same buyer and broad digital/CPV similarity do not establish a renewal or relaunch.",17-76616,17-129614,17-129614,17-106009,LINKED,LINKED,Nantes Métropole,NAME_FALLBACK,182,2017-06-03,2017-12-21,6.603153745072273,72250000.0,DIGITAL_ICT,True,0.214962581706752,1.0,0.9014454664914586,0.6,0.6605982702202278,0.9403995208541638,0.121456044278239,27,"tierce maintenance applicative sur géonantes, portail géographique intranet, extranet et internet de nantes métropole (maintien en conditions opérationnelles et évolutions)",tierce maintenance applicative du système d'information ressources (s.i.r.h.) pour le compte de nantes métropole,GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,True,False,True,True,True,True,False,False,False,5,MATERIAL_SCOPE_MISMATCH;SAME_BUYER_BROAD_DIGITAL_SIGNAL;HIGH_BUYER_ACTIVITY_AMBIGUITY;NAME_FALLBACK_IDENTITY_RISK;HIGH_CPV_FALSE_SECURITY
AUDIT-005,gbm_and_composite,WRONG_LINK,HIGH,False,46240,The source is '17S0075 - Travaux d'installation d'équipements audiovisuels dans le cadre de la modernisation ou la création de salles de réunion pour…' while the candidate is '18s0030 fourniture d'un équipement d'inspection télévisée des réseaux d'assainissement et d'un logiciel d'édition des rapports d'inspe…'. The concrete functions/equipment are materially different; same buyer and broad digital/CPV similarity do not establish a renewal or relaunch.,17-161606,18-55179,18-55179,18-55179,LINKED,LINKED,CARENE,NAME_FALLBACK,9,2017-11-23,2018-04-27,5.091984231274639,32321200.0,DIGITAL_ICT,True,0.1247095529549985,0.2,0.8083661848445028,0.6,0.3657398897453752,0.2639571512570136,0.0932973905353717,2,17S0075 - Travaux d'installation d'équipements audiovisuels dans le cadre de la modernisation ou la création de salles de réunion pour la Carene,18s0030 fourniture d'un équipement d'inspection télévisée des réseaux d'assainissement et d'un logiciel d'édition des rapports d'inspection pour la carene,GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,True,False,True,False,True,False,True,False,False,4,MATERIAL_SCOPE_MISMATCH;SAME_BUYER_BROAD_DIGITAL_SIGNAL;NAME_FALLBACK_IDENTITY_RISK;LOW_TEXT_EVIDENCE
AUDIT-006,gbm_and_composite,WRONG_LINK,HIGH,False,46240,"The candidate is an official RECTIFICATIF linked to the source notice, not a new contract or renewal. Treating a corrected version as a survival event is incorrect.",21-124527,21-130046,21-130046,21-130046,LINKED,LINKED,GPM de Nantes - St Nazaire,NAME_FALLBACK,28,2021-09-16,2021-09-29,0.4270696452036793,48332000.0,DIGITAL_ICT,True,1.0000000000000004,1.0,0.0801576872536137,0.6,0.7300394218134036,0.4858591373128311,0.4447836692120347,2,Mise en oeuvre d'un logiciel de gestion des bordées.,Mise en oeuvre d'un logiciel de gestion des bordées.,GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,False,True,False,True,True,True,False,False,False,4,ADMINISTRATIVE_VERSION_OR_RECTIFICATIF;HIGH_BUYER_ACTIVITY_AMBIGUITY;NAME_FALLBACK_IDENTITY_RISK;HIGH_CPV_FALSE_SECURITY
AUDIT-007,gbm_and_composite,WRONG_LINK,MEDIUM,True,46240,"The source is 'Fourniture et maintenance des logiciels Business Geografic (CIRIL GROUP), prestations annexes et de support pour le compte d'Angers Lo…' while the candidate is 'Acquisition, maintenance et prestations associées d'une solution de paiement dématérialisé du stationnement payant sur voirie à Angers'. The concrete functions/equipment are materially different; same buyer and broad digital/CPV similarity do not establish a renewal or relaunch.",16-45870,16-70219,16-70219,16-70219,LINKED,LINKED,Angers Loire Métropole,NAME_FALLBACK,61,2016-03-30,2016-05-17,1.5768725361366622,72267100.0,DIGITAL_ICT,True,0.0771266674825798,1.0,0.2553657468243538,0.6,0.4508357703249914,0.8490238826920968,0.0338758581004445,12,"Fourniture et maintenance des logiciels Business Geografic (CIRIL GROUP), prestations annexes et de support pour le compte d'Angers Loire Métropole, à Angers","Acquisition, maintenance et prestations associées d'une solution de paiement dématérialisé du stationnement payant sur voirie à Angers",GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,True,False,True,True,True,True,True,True,False,7,MATERIAL_SCOPE_MISMATCH;SAME_BUYER_BROAD_DIGITAL_SIGNAL;HIGH_BUYER_ACTIVITY_AMBIGUITY;NAME_FALLBACK_IDENTITY_RISK;HIGH_CPV_FALSE_SECURITY;LOW_TEXT_EVIDENCE;SMALL_MARGIN_AMBIGUITY
AUDIT-008,gbm_and_composite,WRONG_LINK,HIGH,False,46240,"The source is 'FOURNITURE ET MAINTENANCE D'UNE SOLUTION INFORMATISEE DE GESTION DES CHECK-LIST DE BLOCS OPERATOIRES' while the candidate is 'Fourniture, Installation, Paramétrage, Intégration, Déploiement et Maintenance d'une solution d'automatisation de la prise en charge d…'. The concrete functions/equipment are materially different; same buyer and broad digital/CPV similarity do not establish a renewal or relaunch.",17-9361,17-35545,17-35545,17-35545,LINKED,LINKED,CHU de Nantes,NAME_FALLBACK,70,2017-01-19,2017-03-16,1.8396846254927728,48814300.0,DIGITAL_ICT,True,0.1122271996826206,0.8,0.3155935173017958,0.6,0.4181778992143661,0.6339046140074496,0.0682493609517466,11,FOURNITURE ET MAINTENANCE D'UNE SOLUTION INFORMATISEE DE GESTION DES CHECK-LIST DE BLOCS OPERATOIRES,"Fourniture, Installation, Paramétrage, Intégration, Déploiement et Maintenance d'une solution d'automatisation de la prise en charge d'un patient dans les services de médecine nucléaire",GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,True,False,True,True,True,True,True,False,False,6,MATERIAL_SCOPE_MISMATCH;SAME_BUYER_BROAD_DIGITAL_SIGNAL;HIGH_BUYER_ACTIVITY_AMBIGUITY;NAME_FALLBACK_IDENTITY_RISK;HIGH_CPV_FALSE_SECURITY;LOW_TEXT_EVIDENCE
AUDIT-009,gbm_and_composite,CORRECT_LINK,HIGH,False,46240,"The candidate explicitly states that it is the relaunch of consultation 2022061514mcb, which was lot 2 of the source notice for the public-terminal management system. Buyer SIRET and CPV 48160000 also agree.",22-94809,23-70584,23-70584,23-70584,LINKED,LINKED,COM D AGGLO REG NAZAIRIENNE ESTUAIRE,RAW_SIRET,10,2022-07-08,2023-05-24,10.512483574244415,48160000.0,DIGITAL_ICT,True,0.4514647026095493,1.0,0.7700394218134035,1.0,0.7505225013666931,0.9209318435316564,0.250708277937392,4,"Fourniture, mise en oeuvre, maintenance d'un système intégré de gestion de bibliothèque, d'un portail documentaire web,d'un système de gestion des terminaux publics pour le réseau d",Système de gestion des terminaux publics pour le réseau des bibliothèques de la Carene,GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,False,False,False,False,False,False,False,False,False,0,
AUDIT-010,gbm_and_composite,WRONG_LINK,MEDIUM,True,46240,"The source is 'services de téléphonie fixe analogique et numérique de base et services de téléphonie fixe secondaire pour les établissements départem…' while the candidate is 'services de télécommunications, téléphonie et réseau numérique pour l'ensemble d..'. The concrete functions/equipment are materially different; same buyer and broad digital/CPV similarity do not establish a renewal or relaunch.",15-86342,16-63741,16-63741,16-63741,LINKED,LINKED,Conseil général de Loire-Atlantique,NAME_FALLBACK,16,2015-06-05,2016-05-05,11.00525624178712,64210000.0,DIGITAL_ICT,True,0.2282287432313073,1.0,0.9123959702146298,0.6,0.667979052684615,0.9212533926413246,0.3640634197521137,10,"services de téléphonie fixe analogique et numérique de base et services de téléphonie fixe secondaire pour les établissements départementaux, à Nantes","services de télécommunications, téléphonie et réseau numérique pour l'ensemble d..",GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,True,False,True,True,True,True,False,False,False,5,MATERIAL_SCOPE_MISMATCH;SAME_BUYER_BROAD_DIGITAL_SIGNAL;HIGH_BUYER_ACTIVITY_AMBIGUITY;NAME_FALLBACK_IDENTITY_RISK;HIGH_CPV_FALSE_SECURITY
