parameter_name,definition,generator_component,provenance,ready_to_freeze,action,source_table,conditioning_variables,unit,limitations,notes
composite_score_weights,The fixed weights combining s_text/s_cpv/s_time/s_buyer into the pipeline's composite score.,linker_scoring_replica,LITERATURE_BASED,True,DO_NOT_USE,parameter_inventory.csv,,weight (sums to 1.0),"Fixed a priori, not fitted (docs/methodology.md §5); only useful to a generator that wants to simulate the linker's own scoring, not as ground truth about recurrence.","The pipeline's current fixed a-priori score weights (unfitted); only useful for later replicating the linker's own scoring, never for generating synthetic truth."
cpv_similarity_ladder,The fixed CPV-hierarchy similarity score by match level (exact/category/class/group/division/different/missing).,linker_scoring_replica,LITERATURE_BASED,True,DO_NOT_USE,parameter_inventory.csv,,score (0-1),"Also reused directly as this notebook's cpv_change_allowance vocabulary (config/synthetic/recurrence_ontology.yaml, Work Package 10).","Reused only to define the recurrence ontology's cpv_change_allowance *vocabulary* (config/synthetic/recurrence_ontology.yaml); must not be used to set the magnitude of injected CPV corruption, which is a scenario/corruption-mechanism decision instead."
frozen_link_thresholds,The broad/balanced/strict composite-score thresholds used for link acceptance.,linker_scoring_replica,LITERATURE_BASED,True,DO_NOT_USE,parameter_inventory.csv,,composite score (0-1),"Percentile conventions derived once from Layer 1's own rank-1 score distribution, not independently validated cutoffs (docs/methodology.md §5).","The pipeline's current frozen broad/balanced/strict thresholds; algorithm-conditioned acceptance cutoffs, not properties of the world."
max_candidates_per_source_cap,The maximum number of temporally-nearest candidates kept per source.,candidate_environment_generator,LITERATURE_BASED,True,DO_NOT_USE,parameter_inventory.csv,,count,"A computational-cost cap, not evidence about how many plausible candidates truly exist.","The pipeline's current 30-candidate cap; a computational-cost constant, not evidence about true candidate density."
missingness_large_candidate_pool_pattern,name_fallback + large_candidate_pool joint-pattern rate,section_15c,SILVER_STANDARD,False,DO_NOT_USE,data/processed/boamp_only/boamp_only_candidate_pairs.csv,1 named pattern,rate / lift,"Sourced from the pre-threshold candidate pool (not accepted links), restricted to sources that reached candidate generation; a structural comparison only, never used to set synthetic ground truth (see §15).",figure_or_table_ref=missingness_joint_patterns.csv
silver_candidate_ambiguity,"Candidate-set size/margin at rank-1, by identifier/CPV quality",section_15,SILVER_STANDARD,False,DO_NOT_USE,data/processed/boamp_only/boamp_only_candidate_pairs.csv,by buyer_key_type x cpv_missing,count / margin,"Reflects the pipeline's own 6-month window and 30-candidate cap (config/pipeline.yaml); compare against Section 13's future-only environment rebuild, do not treat as the 'true' candidate density.",figure_or_table_ref=calib_silver_candidate_ambiguity_by_quality.csv
silver_error_cooccurrence_by_tier,Data-quality-defect co-occurrence among accepted links,section_15,SILVER_STANDARD,False,DO_NOT_USE,"data/processed/boamp_only/boamp_only_links_{broad,balanced,strict}.csv",by threshold variant x confidence_tier,rate,Conditional on the pipeline's own threshold-based acceptance; selection bias by construction; must not be used as an unconditional error rate or to estimate true linkage accuracy.,figure_or_table_ref=calib_silver_error_cooccurrence_by_tier.csv
temporal_window_months,The expected-value temporal window used to generate candidates.,candidate_environment_generator,LITERATURE_BASED,True,DO_NOT_USE,parameter_inventory.csv,,months,Derived from a formula that currently collapses to its own floor (config/pipeline.yaml); not an empirical fact about renewal timing.,"The pipeline's current 6-month blocking window; the generator must not constrain true successor gaps to it (some true NEXT_CYCLE gaps must fall outside it, per spec)."
text_similarity_actual_candidate_pipeline,Text similarity among the pipeline's own rank-1 candidate pairs,section_15b,SILVER_STANDARD,False,DO_NOT_USE,data/processed/boamp_only/boamp_only_candidate_pairs.csv,rank-1 candidates only,cosine similarity,"Sourced from the pre-threshold candidate pool (not accepted links), so this is a structural comparison group only — it shows what the pipeline's own blocking+scoring considers 'nearest', not a validated true-match population; never used to set synthetic ground truth (see §15).",figure_or_table_ref=text_similarity_groups.csv
recurrence_relation_type_mix,The mixture of Work Package 10 relation types (NEXT_CYCLE/PARTIAL_RECURRENCE/SPLIT/MERGE/SAME_THEME_DIFFERENT_NEED/UNRELATED/NO_SUCCESSOR) to sample per source.,recurrence_relation_sampler,SCENARIO_ASSUMPTION,False,SCENARIO_PARAMETER,parameter_inventory.csv,,"n/a (scenario range, not a point rate)","No verified legal-renewal field exists anywhere in BOAMP (§14); §15d's human review is intended to narrow this range, not replace it with a point estimate.",
split_merge_occurrence_rate,How often a true recurrence takes the SPLIT or MERGE form rather than a clean one-to-one NEXT_CYCLE.,recurrence_relation_sampler,SCENARIO_ASSUMPTION,False,SCENARIO_PARAMETER,parameter_inventory.csv,,n/a (scenario range),§15d's review strata explicitly include split_or_merge_candidates to inform this range.,
true_buyer_entity_resolution_rate,No registry cross-validation of BOAMP-native buyer identity exists in this repo; the Layer 2 external SIREN join covers only 2024-2026 and the alias bridge is an unvalidated heuristic.,corruption.buyer_name_corruption,UNIDENTIFIED,False,SCENARIO_PARAMETER,calib_unidentified_parameters_scenarios.csv,n/a,n/a (scenario range),"no empirical anchor; range informed by observed fragmentation_rate as a floor, see calib_buyer_name_fragmentation_summary.csv","proposed_scenario_range=sweep the fraction of buyer-name variants correctly resolved to one entity, e.g. {50%, 70%, 90%}. "
true_candidate_ambiguity_resolution,"Which candidate among several plausible same-buyer notices is the *correct* renewal is never verified; §15's rank-1 selection is a modelling choice, not ground truth.",needs.same_buyer_same_cpv_distinct_need,UNIDENTIFIED,False,SCENARIO_PARAMETER,calib_unidentified_parameters_scenarios.csv,n/a,n/a (scenario range),partially anchored by §13 future-only candidate density; which candidate is correct is not,"proposed_scenario_range=vary the number of plausible-but-wrong candidates per true link, e.g. {0, 1-2, 3-5, 6+}, informed by §13's future-only candidate-density numbers. "
true_linkage_precision_recall,"Zero completed manual-validation labels exist; Fellegi-Sunter EM estimates in 03_analysis are explicitly model-based, not ground-truth-validated.",NOT_A_GENERATOR_PARAMETER,UNIDENTIFIED,False,SCENARIO_PARAMETER,calib_unidentified_parameters_scenarios.csv,n/a,n/a (scenario range),no empirical anchor,"proposed_scenario_range=sweep precision/recall of the *injected* synthetic linker across a grid, e.g. precision in {0.6,0.75,0.9}, recall in {0.5,0.7,0.9}. NEVER a generator parameter for synthetic-world truth; only valid as a knob for an injected/simulated linker in later, separate evaluation work."
true_recurrence_prevalence,"No verified legal-renewal field exists in BOAMP; the pipeline's own event rate (19.6%/26.8%) is itself the output of an unvalidated scoring+threshold procedure, not a measurement of real renewal behaviour.",cycles.successor_decision,UNIDENTIFIED,False,SCENARIO_PARAMETER,calib_unidentified_parameters_scenarios.csv,n/a,n/a (scenario range),no empirical anchor; range chosen to bracket the pipeline's own uncalibrated estimates,"proposed_scenario_range=e.g. sweep true recurrence prevalence in {10%, 25%, 40%, 60%}. "
true_text_corruption_process,No ground truth exists for how procurement text varies between a true renewal pair vs. an unrelated notice; §10's exact-duplicate rate only measures literal repetition.,text_generation.next_cycle_drift,UNIDENTIFIED,False,SCENARIO_PARAMETER,calib_unidentified_parameters_scenarios.csv,n/a,n/a (scenario range),no empirical anchor,"proposed_scenario_range=sweep text-similarity degradation severity for true-pair synthetic text, e.g. cosine similarity target ranges {0.3-0.5, 0.5-0.7, 0.7-0.9}. "
candidates_per_source_distribution,Median and p90 number of candidates the Layer 1 pipeline generates per eligible source.,candidate_environment_generator,EMPIRICAL,True,USE_AS_FIDELITY_TARGET,parameter_inventory.csv,,count,"Conditional on the pipeline's own blocking/window/cap (SILVER_STANDARD-adjacent input, not the candidate scores themselves).","Algorithm-conditioned (pipeline's own blocking/window/cap); use only as a post-hoc fidelity target for observed_notices candidate generation, never as a generation input."
