parameter_id,parameter_name,tier,value_or_range,unit,stratification,source_file,source_columns,computation_method,n_obs,notebook_section,figure_or_table_ref,caveat
n_total_notices,Total notices in prepared corpus,OBSERVABLE,84623,count,unconditional,data/interim/boamp_common_prepared.csv,notice_id,row count after dedup,84623,1,n/a,"Full corpus, all sectors, all notice types, not scope-filtered."
dept_coverage,"Notice share by department (multi-valued, exploded)",OBSERVABLE,see table,share,"marginal, by department",data/interim/boamp_common_prepared.csv,code_departement,"split on ';', explode, value_counts",84623,2,calib_department_coverage.csv,code_departement can list several departments per notice; shares sum to >1.
notice_type_by_year,Notice type composition by year,OBSERVABLE,see table,count,by year,data/interim/boamp_common_prepared.csv,"notice_type_normalized, publication_year",groupby crosstab,84623,2,calib_notice_type_by_year.csv,notice_type_normalized collapses rare types to OTHER.
field_completeness_marginal,"Non-null rate, all 94 columns",OBSERVABLE,see table,rate,marginal,data/interim/boamp_common_prepared.csv,all columns,df.notna().mean(),84623,3,calib_field_completeness_marginal.csv,Includes both raw and derived columns.
key_field_completeness_by_year,Completeness of key fields by year,OBSERVABLE,see table,rate,by publication_year,data/interim/boamp_common_prepared.csv,"buyer_siret_clean,buyer_siren_clean,cpv_clean,duration_raw,objet_clean,response_deadline,code_departement_prestation,annonce_lie,titulaire","groupby year, notna mean",84623,3,calib_field_completeness_heatmap.png,"Trend, not a validated forecast."
schema_transition_shift,LEGACY vs EFORMS field completeness delta,OBSERVABLE,see table,percentage points,by schema_family,data/interim/boamp_common_prepared.csv,"buyer_siret_clean,buyer_siren_clean,cpv_clean,duration_raw,objet_clean,response_deadline,code_departement_prestation,annonce_lie,titulaire","groupby schema_family, notna mean, difference",84623,4,calib_schema_transition_shift.csv,schema_family is detected heuristically from the raw donnees payload (src/utils/boamp_schema.py); not a declared field.
buyer_activity_gini,"Gini coefficient, notices per buyer_key",OBSERVABLE,0.832,unitless (0-1),unconditional,data/interim/boamp_common_prepared.csv,buyer_key,Lorenz curve / Gini from groupby(buyer_key).size(),5268,5,calib_buyer_activity_distribution.png,"buyer_key is BOAMP-native identity (SIRET/SIREN/name fallback); NAME_FALLBACK buyers aggregate multiple real entities under one key, inflating apparent concentration."
identifier_source_marginal,buyer_identifier_source distribution,OBSERVABLE,see table,share,marginal,data/interim/boamp_common_prepared.csv,buyer_identifier_source,value_counts(normalize=True),84623,6,calib_identifier_quality_summary.csv,RAW_SIRET_FIELD/RAW_SIREN_FIELD/DERIVED_FROM_SIRET/NONE; format+Luhn checksum validated.
buyer_name_fragmentation_rate,Share of normalized buyer names mapping to >1 buyer_key,OBSERVABLE,0.2901,rate,marginal,data/interim/boamp_common_prepared.csv,"buyer_name_normalized,buyer_key",src/boamp/data/identity_boamp.py::fragmentation_summary,84623,7,calib_buyer_name_fragmentation_summary.csv,"A data-quality measure of BOAMP-native identity resolution, not a linkage-accuracy claim; generic institutional names (mairie, commune, ...) fragment for a different reason than genuine spelling/legal-form variants and are reported separately."
cpv_missing_rate,CPV code missing rate,OBSERVABLE,0.2968,rate,marginal + by year/schema/notice_type/department/buyer_activity/identifier_source,data/interim/boamp_common_prepared.csv,"cpv_missing,cpv_generic_flag",src/boamp/data/prepare.py cpv cleaning; mean of boolean flags,84623,8,calib_cpv_missingness_by_conditioning.csv,cpv_clean requires exact 8-digit format; malformed/multi-code strings are treated as missing.
duration_present_rate_full_corpus,"Duration field present, full corpus",OBSERVABLE,0.1365,rate,marginal + conditional,data/interim/boamp_common_prepared.csv,duration_raw,"notna mean, full corpus (not scope-filtered)",84623,9,calib_duration_quality_summary.csv,"Distinct from the pipeline's 88%-imputed figure, which is computed only over the APPEL_OFFRE & digital-scope eligible-source subset, not the full corpus."
text_near_duplicate_rate,Exact-duplicate objet_clean rate,OBSERVABLE,0.5143,rate,among non-missing text,data/interim/boamp_common_prepared.csv,objet_clean,duplicated(keep=False).mean(),84622,10,calib_text_near_duplicate_rate.csv,Exact-string duplication only; near-duplicate detection via fuzzy/semantic similarity would find a higher rate. This is a lower bound on text-based candidate ambiguity.
missingness_phi_matrix,Phi-coefficient correlation among 6 quality flags,OBSERVABLE,see table,correlation (-1..1),marginal + by year/schema/dept/cpv/buyer_activity,data/interim/boamp_common_prepared.csv,"buyer_siret_clean,buyer_siren_clean,buyer_key_type,cpv_missing,cpv_generic_flag,duration_raw,objet_clean,text_length,start_date_source",Pearson correlation on binary 0/1 flags (= phi coefficient),84623,11,calib_missingness_correlation_heatmap.png,"siret_or_siren_missing and name_fallback are definitionally linked by the buyer_key construction ladder (identity_boamp.py), not an independent empirical association."
scope_conditioning_crosstab,Quality metrics split by digital-scope / PDL-scope eligibility,OBSERVABLE,see table,rate,"by is_digital_scope, is_in_pdl",data/interim/boamp_common_prepared.csv,"is_digital_scope,is_in_pdl","groupby, mean of quality flags",84623,12,calib_scope_conditioning_crosstab.csv,is_digital_scope combines a CPV-division rule with a French keyword search over objet_normalized (config/pipeline.yaml scope block); it is a scope-tagging heuristic.
candidate_env_window_sweep,Same-buyer candidate-set size vs window width,OBSERVABLE,see table,count,by window_months x buyer_key_type,data/interim/boamp_common_prepared.csv,"buyer_key,publication_date,buyer_key_type",searchsorted-based sliding window count per buyer_key group,84623,13,calib_candidate_environment_complexity_by_window.csv,"Publication-date-based, not estimated-end-date-based; independent of the pipeline's 6-month convention. NAME_FALLBACK buyer_key aggregates distinct real entities, inflating candidate density for that stratum specifically."
true_recurrence_prevalence,true recurrence prevalence,UNIDENTIFIED,"e.g. sweep true recurrence prevalence in {10%, 25%, 40%, 60%}",n/a,n/a,n/a (no BOAMP source establishes this),n/a,analyst judgment / literature-free,0,14,calib_unidentified_parameters_scenarios.csv,"No verified legal-renewal field exists in BOAMP; the pipeline's own event rate (19.6%/26.8%) is itself the output of an unvalidated scoring+threshold procedure, not a measurement of real renewal behaviour."
